text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
"@AsahPolaPikir Ya murah, bayak AI dan robot berarti PHK atau setidaknya gak ada lapangan kerja baru, dst berarti daya beli turun, daya beli turun, menuju deflasi besar2an",Ya murah bayak AI dan robot berarti PHK atau setidaknya gak ada lapangan kerja baru dst berarti daya beli turun daya beli turun menuju deflasi besar2an,ya murah bayak ai dan robot berarti phk atau setidaknya gak ada lapangan kerja baru dst berarti daya beli turun daya beli turun menuju deflasi besar2an,ya murah bayak ai dan robot berarti phk atau setidaknya tidak ada lapangan kerja baru dst berarti daya beli turun daya beli turun menuju deflasi,"['ya', 'murah', 'bayak', 'ai', 'dan', 'robot', 'berarti', 'phk', 'atau', 'setidaknya', 'tidak', 'ada', 'lapangan', 'kerja', 'baru', 'dst', 'berarti', 'daya', 'beli', 'turun', 'daya', 'beli', 'turun', 'menuju', 'deflasi']","['ya', 'murah', 'bayak', 'ai', 'robot', 'phk', 'lapangan', 'kerja', 'dst', 'daya', 'beli', 'turun', 'daya', 'beli', 'turun', 'deflasi']",ya murah bayak ai robot phk lapang kerja dst daya beli turun daya beli turun deflasi
"Adopsi AI Bikin 41% Perusahaan PHK Karyawan, Ini Kata Pengusaha https://t.co/mOkjXf1kPe",Adopsi AI Bikin 41 Perusahaan PHK Karyawan Ini Kata Pengusaha,adopsi ai bikin 41 perusahaan phk karyawan ini kata pengusaha,adopsi ai bikin 41 perusahaan phk karyawan ini kata pengusaha,"['adopsi', 'ai', 'bikin', '41', 'perusahaan', 'phk', 'karyawan', 'ini', 'kata', 'pengusaha']","['adopsi', 'ai', 'bikin', '41', 'perusahaan', 'phk', 'karyawan', 'pengusaha']",adopsi ai bikin 41 usaha phk karyawan usaha
AI Diprediksi Picu Lebih Banyak PHK di Masa Depan https://t.co/0VGqtXOvSe,AI Diprediksi Picu Lebih Banyak PHK di Masa Depan,ai diprediksi picu lebih banyak phk di masa depan,ai diprediksi picu lebih banyak phk di masa depan,"['ai', 'diprediksi', 'picu', 'lebih', 'banyak', 'phk', 'di', 'masa', 'depan']","['ai', 'diprediksi', 'picu', 'phk']",ai prediksi picu phk
PHK Meta: Apakah Terjadi Karena AI?  15 Januari 2025   https://t.co/pPmEYaWLA9 https://t.co/sVXeiNiCPJ,PHK Meta Apakah Terjadi Karena AI  15 Januari 2025,phk meta apakah terjadi karena ai  15 januari 2025,phk meta apakah terjadi karena ai 15 januari 2025,"['phk', 'meta', 'apakah', 'terjadi', 'karena', 'ai', '15', 'januari', '2025']","['phk', 'meta', 'ai', '15', 'januari', '2025']",phk meta ai 15 januari 2025
"Revolusi cara kerja: Kolaborasi manusia-AI tingkatkan efisiensi 45%, ubah ancaman PHK jadi peluang karir. #Headline https://t.co/DSVzGt8Jvy",Revolusi cara kerja Kolaborasi manusiaAI tingkatkan efisiensi 45 ubah ancaman PHK jadi peluang karir,revolusi cara kerja kolaborasi manusiaai tingkatkan efisiensi 45 ubah ancaman phk jadi peluang karir,revolusi cara kerja kolaborasi tingkatkan efisiensi 45 ubah ancaman phk jadi peluang karir,"['revolusi', 'cara', 'kerja', 'kolaborasi', 'tingkatkan', 'efisiensi', '45', 'ubah', 'ancaman', 'phk', 'jadi', 'peluang', 'karir']","['revolusi', 'kerja', 'kolaborasi', 'tingkatkan', 'efisiensi', '45', 'ubah', 'ancaman', 'phk', 'peluang', 'karir']",revolusi kerja kolaborasi tingkat efisiensi 45 ubah ancam phk peluang karir
"Pekerjaan seperti petugas pos dan sekretaris eksekutif terancam oleh otomatisasi, sementara 70% perusahaan mencari pekerja dengan keahlian AI. Meskipun AI dapat meningkatkan keterampilan manusia, beberapa pekerja telah mengalami PHK, termasuk dari Dropbox dan Duolingo.",Pekerjaan seperti petugas pos dan sekretaris eksekutif terancam oleh otomatisasi sementara 70 perusahaan mencari pekerja dengan keahlian AI Meskipun AI dapat meningkatkan keterampilan manusia beberapa pekerja telah mengalami PHK termasuk dari Dropbox dan Duolingo,pekerjaan seperti petugas pos dan sekretaris eksekutif terancam oleh otomatisasi sementara 70 perusahaan mencari pekerja dengan keahlian ai meskipun ai dapat meningkatkan keterampilan manusia beberapa pekerja telah mengalami phk termasuk dari dropbox dan duolingo,pekerjaan seperti petugas pos dan sekretaris eksekutif terancam oleh otomatisasi sementara 70 perusahaan mencari pekerja dengan keahlian ai meskipun ai dapat meningkatkan keterampilan manusia beberapa pekerja telah mengalami phk termasuk dari dropbox dan duolingo,"['pekerjaan', 'seperti', 'petugas', 'pos', 'dan', 'sekretaris', 'eksekutif', 'terancam', 'oleh', 'otomatisasi', 'sementara', '70', 'perusahaan', 'mencari', 'pekerja', 'dengan', 'keahlian', 'ai', 'meskipun', 'ai', 'dapat', 'meningkatkan', 'keterampilan', 'manusia', 'beberapa', 'pekerja', 'telah', 'mengalami', 'phk', 'termasuk', 'dari', 'dropbox', 'dan', 'duolingo']","['pekerjaan', 'petugas', 'pos', 'sekretaris', 'eksekutif', 'terancam', 'otomatisasi', '70', 'perusahaan', 'mencari', 'pekerja', 'keahlian', 'ai', 'ai', 'meningkatkan', 'keterampilan', 'manusia', 'pekerja', 'mengalami', 'phk', 'dropbox', 'duolingo']",kerja tugas pos sekretaris eksekutif ancam otomatisasi 70 usaha cari kerja ahli ai ai tingkat terampil manusia kerja alami phk dropbox duolingo
Laporan World Economic Forum (WEF) menyatakan bahwa 41% perusahaan global berencana mengurangi tenaga kerja pada 2030 karena pekerjaan akan digantikan oleh kecerdasan buatan (AI).   #MajaLabs #Web3 #WEF #AI #PHK https://t.co/pQTS1FfB3d,Laporan World Economic Forum WEF menyatakan bahwa 41 perusahaan global berencana mengurangi tenaga kerja pada 2030 karena pekerjaan akan digantikan oleh kecerdasan buatan AI,laporan world economic forum wef menyatakan bahwa 41 perusahaan global berencana mengurangi tenaga kerja pada 2030 karena pekerjaan akan digantikan oleh kecerdasan buatan ai,laporan world economic forum wef menyatakan bahwa 41 perusahaan global berencana mengurangi tenaga kerja pada 2030 karena pekerjaan akan digantikan oleh kecerdasan buatan ai,"['laporan', 'world', 'economic', 'forum', 'wef', 'menyatakan', 'bahwa', '41', 'perusahaan', 'global', 'berencana', 'mengurangi', 'tenaga', 'kerja', 'pada', '2030', 'karena', 'pekerjaan', 'akan', 'digantikan', 'oleh', 'kecerdasan', 'buatan', 'ai']","['laporan', 'world', 'economic', 'forum', 'wef', '41', 'perusahaan', 'global', 'berencana', 'mengurangi', 'tenaga', 'kerja', '2030', 'pekerjaan', 'digantikan', 'kecerdasan', 'buatan', 'ai']",lapor world economic forum wef 41 usaha global rencana kurang tenaga kerja 2030 kerja ganti cerdas buat ai
"Waduh, 41 Persen Perusahaan di Seluruh Dunia Rencanakan PHK Massal Akibat AI https://t.co/fQTRZGqpxP",Waduh 41 Persen Perusahaan di Seluruh Dunia Rencanakan PHK Massal Akibat AI,waduh 41 persen perusahaan di seluruh dunia rencanakan phk massal akibat ai,waduh 41 persen perusahaan di seluruh dunia rencanakan phk massal akibat ai,"['waduh', '41', 'persen', 'perusahaan', 'di', 'seluruh', 'dunia', 'rencanakan', 'phk', 'massal', 'akibat', 'ai']","['41', 'persen', 'perusahaan', 'dunia', 'rencanakan', 'phk', 'massal', 'akibat', 'ai']",41 persen usaha dunia rencana phk massal akibat ai
Jika ai benar bisa mengancam pekerjaan manusia maka yg di lakukan negara2 pengembangnya disebut program cipta pengangguran   Jadi Jika saat ini anda adlh seorng pengangguran anda tidak perlu kawatir krna anda sudah terbiasa,Jika ai benar bisa mengancam pekerjaan manusia maka yg di lakukan negara2 pengembangnya disebut program cipta pengangguran   Jadi Jika saat ini anda adlh seorng pengangguran anda tidak perlu kawatir krna anda sudah terbiasa,jika ai benar bisa mengancam pekerjaan manusia maka yg di lakukan negara2 pengembangnya disebut program cipta pengangguran   jadi jika saat ini anda adlh seorng pengangguran anda tidak perlu kawatir krna anda sudah terbiasa,jika ai benar bisa mengancam pekerjaan manusia maka yang di lakukan negara2 pengembangnya disebut program cipta pengangguran jadi jika saat ini anda adalah seorng pengangguran anda tidak perlu kawatir karena anda sudah terbiasa,"['jika', 'ai', 'benar', 'bisa', 'mengancam', 'pekerjaan', 'manusia', 'maka', 'yang', 'di', 'lakukan', 'negara2', 'pengembangnya', 'disebut', 'program', 'cipta', 'pengangguran', 'jadi', 'jika', 'saat', 'ini', 'anda', 'adalah', 'seorng', 'pengangguran', 'anda', 'tidak', 'perlu', 'kawatir', 'karena', 'anda', 'sudah', 'terbiasa']","['ai', 'mengancam', 'pekerjaan', 'manusia', 'lakukan', 'negara2', 'pengembangnya', 'program', 'cipta', 'pengangguran', 'seorng', 'pengangguran', 'kawatir', 'terbiasa']",ai ancam kerja manusia laku negara2 kembang program cipta anggur seorng anggur kawatir biasa
"istilahnya langsung bisa productizing llms, karena sekarang tinggal ngedeploy small models ke banyak PC/smartphone, GPU yg nganggur dipakai jualan cloud AI service yg lebih panjang reasoning/infeence time nya yg gak sanggup dikerjakan oleh PC/smartphones",istilahnya langsung bisa productizing llms karena sekarang tinggal ngedeploy small models ke banyak PCsmartphone GPU yg nganggur dipakai jualan cloud AI service yg lebih panjang reasoninginfeence time nya yg gak sanggup dikerjakan oleh PCsmartphones,istilahnya langsung bisa productizing llms karena sekarang tinggal ngedeploy small models ke banyak pcsmartphone gpu yg nganggur dipakai jualan cloud ai service yg lebih panjang reasoninginfeence time nya yg gak sanggup dikerjakan oleh pcsmartphones,istilahnya langsung bisa productizing llms karena sekarang tinggal ngedeploy small models ke banyak pcsmartphone gpu yang nganggur dipakai jualan cloud ai service yang lebih panjang reasoninginfeence time ya yang tidak sanggup dikerjakan oleh pcsmartphones,"['istilahnya', 'langsung', 'bisa', 'productizing', 'llms', 'karena', 'sekarang', 'tinggal', 'ngedeploy', 'small', 'models', 'ke', 'banyak', 'pcsmartphone', 'gpu', 'yang', 'nganggur', 'dipakai', 'jualan', 'cloud', 'ai', 'service', 'yang', 'lebih', 'panjang', 'reasoninginfeence', 'time', 'ya', 'yang', 'tidak', 'sanggup', 'dikerjakan', 'oleh', 'pcsmartphones']","['istilahnya', 'langsung', 'productizing', 'llms', 'tinggal', 'ngedeploy', 'small', 'models', 'pcsmartphone', 'gpu', 'nganggur', 'dipakai', 'jualan', 'cloud', 'ai', 'service', 'reasoninginfeence', 'time', 'ya', 'sanggup', 'pcsmartphones']",istilah langsung productizing llms tinggal ngedeploy small models pcsmartphone gpu nganggur pakai jual cloud ai service reasoninginfeence time ya sanggup pcsmartphones
